image,tile_name,total_pixels,black_pixels,non_black_pixels
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=10558,w=880,h=880]",480000,479847,153
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=11438,w=880,h=880]",480000,479988,12
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=12318,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=13198,w=880,h=879]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=14077,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=14957,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=20236,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=21116,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=21996,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=22876,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=23756,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=24636,w=880,h=879]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=25515,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=26395,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=5279,w=880,h=880]",480000,479880,120
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=6159,w=880,h=880]",480000,472353,7647
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=7039,w=880,h=880]",480000,477045,2955
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=7919,w=880,h=879]",480000,477309,2691
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=8798,w=880,h=880]",480000,476829,3171
16045-18-901002,"16045-18-901002 [d=2.1996,x=10558,y=9678,w=880,h=880]",480000,477018,2982
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=10558,w=880,h=880]",480000,479985,15
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=11438,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=12318,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=13198,w=880,h=879]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=14077,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=14957,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=21996,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=22876,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=23756,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=24636,w=880,h=879]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=25515,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=26395,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=5279,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=6159,w=880,h=880]",480000,479670,330
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=7039,w=880,h=880]",480000,479442,558
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=7919,w=880,h=879]",480000,475149,4851
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=8798,w=880,h=880]",480000,478146,1854
16045-18-901002,"16045-18-901002 [d=2.1996,x=11438,y=9678,w=880,h=880]",480000,479910,90
16045-18-901002,"16045-18-901002 [d=2.1996,x=12318,y=10558,w=880,h=880]",480000,480000,0
16045-18-901002,"16045-18-901002 [d=2.1996,x=12318,y=12318,w=880,h=880]",480000,480000,0
