image,tile_name,total_pixels,black_pixels,non_black_pixels
64851,"64851 [d=2.1991,x=10556,y=10556,w=879,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=10556,y=11435,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=10556,y=12315,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=10556,y=13195,w=879,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=10556,y=14074,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=10556,y=14954,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=10556,y=4398,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=10556,y=5278,w=879,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=10556,y=6157,w=879,h=880]",480000,479976,24
64851,"64851 [d=2.1991,x=10556,y=7037,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=10556,y=7917,w=879,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=10556,y=8796,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=10556,y=9676,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=10556,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=11435,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=12315,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=13195,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=14074,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=14954,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=15834,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=16713,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=17593,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=18472,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=19352,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=20232,w=880,h=879]",480000,479997,3
64851,"64851 [d=2.1991,x=11435,y=21111,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=4398,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=5278,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=6157,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=7037,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=7917,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=8796,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=11435,y=9676,w=880,h=880]",480000,479991,9
64851,"64851 [d=2.1991,x=12315,y=10556,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=12315,y=11435,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=12315,y=12315,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=12315,y=13195,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=12315,y=14074,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=12315,y=14954,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=12315,y=15834,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=12315,y=16713,w=880,h=880]",480000,479940,60
64851,"64851 [d=2.1991,x=12315,y=17593,w=880,h=879]",480000,479931,69
64851,"64851 [d=2.1991,x=12315,y=18472,w=880,h=880]",480000,479820,180
64851,"64851 [d=2.1991,x=12315,y=19352,w=880,h=880]",480000,479871,129
64851,"64851 [d=2.1991,x=12315,y=20232,w=880,h=879]",480000,479913,87
64851,"64851 [d=2.1991,x=12315,y=21111,w=880,h=880]",480000,479997,3
64851,"64851 [d=2.1991,x=12315,y=21991,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=12315,y=22871,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=12315,y=5278,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=12315,y=6157,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=12315,y=7037,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=12315,y=7917,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=12315,y=8796,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=12315,y=9676,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=13195,y=10556,w=879,h=879]",480000,479997,3
64851,"64851 [d=2.1991,x=13195,y=11435,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=13195,y=12315,w=879,h=880]",480000,479967,33
64851,"64851 [d=2.1991,x=13195,y=13195,w=879,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=13195,y=14074,w=879,h=880]",480000,479982,18
64851,"64851 [d=2.1991,x=13195,y=14954,w=879,h=880]",480000,479979,21
64851,"64851 [d=2.1991,x=13195,y=15834,w=879,h=879]",480000,479910,90
64851,"64851 [d=2.1991,x=13195,y=16713,w=879,h=880]",480000,479991,9
64851,"64851 [d=2.1991,x=13195,y=17593,w=879,h=879]",480000,479823,177
64851,"64851 [d=2.1991,x=13195,y=18472,w=879,h=880]",480000,479631,369
64851,"64851 [d=2.1991,x=13195,y=19352,w=879,h=880]",480000,479727,273
64851,"64851 [d=2.1991,x=13195,y=20232,w=879,h=879]",480000,479742,258
64851,"64851 [d=2.1991,x=13195,y=21111,w=879,h=880]",480000,479895,105
64851,"64851 [d=2.1991,x=13195,y=21991,w=879,h=880]",480000,479973,27
64851,"64851 [d=2.1991,x=13195,y=22871,w=879,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=13195,y=5278,w=879,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=13195,y=6157,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=13195,y=7037,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=13195,y=7917,w=879,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=13195,y=8796,w=879,h=880]",480000,479997,3
64851,"64851 [d=2.1991,x=13195,y=9676,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14074,y=10556,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=14074,y=11435,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14074,y=12315,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14074,y=13195,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=14074,y=14074,w=880,h=880]",480000,479973,27
64851,"64851 [d=2.1991,x=14074,y=14954,w=880,h=880]",480000,479946,54
64851,"64851 [d=2.1991,x=14074,y=15834,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=14074,y=16713,w=880,h=880]",480000,479997,3
64851,"64851 [d=2.1991,x=14074,y=17593,w=880,h=879]",480000,479931,69
64851,"64851 [d=2.1991,x=14074,y=18472,w=880,h=880]",480000,479898,102
64851,"64851 [d=2.1991,x=14074,y=19352,w=880,h=880]",480000,479304,696
64851,"64851 [d=2.1991,x=14074,y=20232,w=880,h=879]",480000,479430,570
64851,"64851 [d=2.1991,x=14074,y=21111,w=880,h=880]",480000,479694,306
64851,"64851 [d=2.1991,x=14074,y=21991,w=880,h=880]",480000,479991,9
64851,"64851 [d=2.1991,x=14074,y=22871,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=14074,y=3519,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=14074,y=4398,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14074,y=5278,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=14074,y=6157,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14074,y=7037,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14074,y=7917,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=14074,y=8796,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14074,y=9676,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=10556,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=11435,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=12315,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=13195,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=14074,w=880,h=880]",480000,479922,78
64851,"64851 [d=2.1991,x=14954,y=14954,w=880,h=880]",480000,479850,150
64851,"64851 [d=2.1991,x=14954,y=15834,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=16713,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=17593,w=880,h=879]",480000,479982,18
64851,"64851 [d=2.1991,x=14954,y=18472,w=880,h=880]",480000,479985,15
64851,"64851 [d=2.1991,x=14954,y=19352,w=880,h=880]",480000,479322,678
64851,"64851 [d=2.1991,x=14954,y=20232,w=880,h=879]",480000,479721,279
64851,"64851 [d=2.1991,x=14954,y=21111,w=880,h=880]",480000,479985,15
64851,"64851 [d=2.1991,x=14954,y=21991,w=880,h=880]",480000,479991,9
64851,"64851 [d=2.1991,x=14954,y=22871,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=2639,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=3519,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=4398,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=5278,w=880,h=879]",480000,479997,3
64851,"64851 [d=2.1991,x=14954,y=6157,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=7037,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=7917,w=880,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=8796,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=14954,y=9676,w=880,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=15834,y=10556,w=879,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=15834,y=11435,w=879,h=880]",480000,479997,3
64851,"64851 [d=2.1991,x=15834,y=12315,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=15834,y=13195,w=879,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=15834,y=14074,w=879,h=880]",480000,479961,39
64851,"64851 [d=2.1991,x=15834,y=14954,w=879,h=880]",480000,479901,99
64851,"64851 [d=2.1991,x=15834,y=15834,w=879,h=879]",480000,479382,618
64851,"64851 [d=2.1991,x=15834,y=16713,w=879,h=880]",480000,479061,939
64851,"64851 [d=2.1991,x=15834,y=17593,w=879,h=879]",480000,478671,1329
64851,"64851 [d=2.1991,x=15834,y=18472,w=879,h=880]",480000,479160,840
64851,"64851 [d=2.1991,x=15834,y=19352,w=879,h=880]",480000,478560,1440
64851,"64851 [d=2.1991,x=15834,y=20232,w=879,h=879]",480000,479514,486
64851,"64851 [d=2.1991,x=15834,y=21111,w=879,h=880]",480000,479337,663
64851,"64851 [d=2.1991,x=15834,y=21991,w=879,h=880]",480000,479946,54
64851,"64851 [d=2.1991,x=15834,y=22871,w=879,h=879]",480000,479994,6
64851,"64851 [d=2.1991,x=15834,y=3519,w=879,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=15834,y=4398,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=15834,y=5278,w=879,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=15834,y=6157,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=15834,y=7037,w=879,h=880]",480000,480000,0
64851,"64851 [d=2.1991,x=15834,y=7917,w=879,h=879]",480000,480000,0
64851,"64851 [d=2.1991,x=15834,y=8796,w=879,h=880]",480000,479997,3
64851,"64851 [d=2.1991,x=15834,y=9676,w=879,h=880]",480000,480000,0
